review,label,duration,spectral_centroid,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
"The pacing was absolutely touching. Wow, just wow.",Positive,4.872,2209.565277168235,0.11313839042030567,-309.5345,82.03465,-13.648661,17.247257,3.0718646,-4.1705723,2.2963896,-2.0185096,-8.284414,0.08525805,-12.057031,8.480355,-11.033766
"Wow, just wow. A must-watch for fans of the genre.",Positive,4.632,2094.604809482898,0.10957658400229357,-300.47836,94.10145,-20.653385,3.8256526,-3.2670228,-5.156423,8.687248,-7.1880903,-10.903796,5.96203,-9.326924,8.5244055,-12.919284
"It perfectly balances humor and drama. Wow, just wow.",Positive,5.472,2036.2426201407793,0.10236806906614786,-332.7354,84.99867,-17.807974,11.169481,2.2556143,-5.983675,6.0153756,-5.439964,-8.584063,1.3717601,-11.107125,7.2904215,-12.13885
"The dialogue was absolutely phenomenal. Wow, just wow.",Positive,5.208,1934.4774923847604,0.0917530293367347,-324.75943,89.8324,-15.778297,8.127915,-2.6305995,-5.5945086,8.813382,-5.8802514,-10.103376,2.631115,-11.457692,7.9143796,-12.135518
"It perfectly balances humor and drama. Wow, simply wow.",Positive,5.952,2043.4039868431653,0.10648716517857143,-329.9466,85.95624,-18.430838,10.937064,2.5424092,-7.6162634,6.332066,-4.2568154,-9.013351,1.3866514,-12.376271,8.187928,-11.869122
"Finally, a movie that respects the audience. The lead actor delivered a flawless performance. It deserves all the awards it's getting.",Positive,11.04,2573.498208799968,0.1311355649734556,-318.5692,62.55981,-6.4253716,17.930416,5.4219723,-8.226432,-1.5159408,-5.5518427,-10.498603,-1.5700042,-13.64978,6.9543476,-10.229527
An absolute joy to watch from start to finish. The lead actor delivered a iconic performance. It deserves all the awards it's getting.,Positive,10.368,2587.073384227425,0.13183092434548255,-295.48935,68.84551,-11.720294,19.747822,1.4868121,-8.71329,-0.57192695,-6.9809628,-9.881953,0.49376836,-15.087014,8.096206,-11.065809
"I was hooked from the very first minute. Every scene felt earned, and the pacing was delightful. Do yourself a favor and go see this.",Positive,10.32,2685.506325332197,0.15002542290805784,-281.97858,64.07958,-13.532688,15.472238,5.4828057,-10.437723,-1.4670496,-6.337823,-8.595624,1.2071618,-12.464357,8.868833,-11.182516
I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.,Positive,9.672,2466.8414531822323,0.12513766519823788,-299.06815,72.53616,-14.854062,20.203093,6.041353,-11.759348,-1.897184,-6.4528346,-13.100581,0.44656843,-15.2669735,8.117272,-12.17625
This movie is a triumph in every sense. The lead actor delivered a phenomenal performance. A must-watch for fans of the genre.,Positive,9.816,2625.3254051556414,0.13847169027928416,-285.8984,70.30198,-15.493937,14.796695,3.6251404,-9.193154,0.6710062,-8.821697,-10.919274,1.8429668,-13.584026,5.6042795,-12.541079
Total garbage. Do not bother.,Negative,3.072,1904.3643486641283,0.0736260775862069,-338.93875,78.01596,-9.995587,22.149616,-0.046045765,-4.4272118,6.5323396,-1.5505745,-7.924182,3.42936,-8.704684,11.1189995,-8.555651
Total garbage. A complete misfire.,Negative,3.528,2183.420840105514,0.10105951148343373,-292.34775,71.73318,-15.722246,23.25888,4.9113345,-6.435882,0.54371464,-3.383168,-5.178281,2.5225463,-10.262151,11.1103115,-9.203338
Total garbage. I walked out halfway through.,Negative,3.768,2059.5703293616098,0.09533898305084745,-321.3833,83.18172,-16.367056,18.847095,1.54315,-4.699145,4.7571173,-3.8992662,-5.140663,1.5910317,-12.201063,10.081012,-8.371495
Total garbage. Zero stars if I could give it.,Negative,4.08,2654.8699860603006,0.1333033243815104,-291.6273,69.73617,-13.055055,18.606682,4.8071003,-10.010067,-3.6398427,-5.283023,-8.203975,1.365745,-12.856499,13.021132,-8.500578
